ID,Region,Gender,Sexuality,Race,Disabled,Seniority,28,29,report_type,report_category
#P01,Southeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P02,Southeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P03,Northeast,Woman,Others/I don't know,Non-white,No,Junior,Yes,none,N/A,N/A
#P04,Northeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P05,Northeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P06,Southeast,Man,LGBTQ+,White,No,Junior,Yes,Homophobic jokes.,1S,Homophobia
#P07,Northeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P08,Northeast,Man,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P09,Southeast,Man,LGBTQ+,Non-white,No,Mid-level,Yes,Moral harassment against a woman and ableism.,3S,"Ableism, Sexism"
#P10,Northeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P11,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P12,Others/I don't know,Woman,Heterosexual,Non-white,No,Mid-level,Yes,"The client treated me like his assistant or secretary, even though that was not my role.",1S,Sexism
#P13,Northeast,Woman,Heterosexual,White,No,Senior,Yes,"A team meeting managed by a Black woman, with comments such as “It looks like samba do criolo doido” and other remarks related to people from the Northeast.",3S,"Sexism, Racism"
#P14,Northeast,Man,Heterosexual,White,No,Junior,Yes,"In the past, at an organization where I worked, employees from the LGBTQIA+ community were subjected to harassment (mockery and offensive jokes) by the CTO.",3S,Homophobia
#P15,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P16,Southeast,Man,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P17,Southeast,Man,Heterosexual,White,No,Senior,Yes,none,N/A,N/A
#P18,Southeast,Man,Heterosexual,White,No,Junior,Yes,none,N/A,N/A
#P19,Southeast,Man,Heterosexual,Non-white,No,Junior,Yes,none,N/A,N/A
#P20,Southeast,Others/I don't know,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P21,Northeast,Man,LGBTQ+,White,No,Senior,No,N/A,N/A,N/A
#P22,South,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P23,Northeast,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P24,Southeast,Man,Heterosexual,White,No,Junior,Yes,none,N/A,N/A
#P25,Southeast,Woman,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P26,Others/I don't know,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P27,Southeast,Woman,Others/I don't know,White,No,Senior,Yes,none,N/A,N/A
#P28,Southeast,Woman,LGBTQ+,White,No,Senior,Yes,none,N/A,N/A
#P29,Certer-West,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P30,Certer-West,Man,Heterosexual,White,No,Junior,Yes,none,N/A,N/A
#P31,Others/I don't know,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P32,Southeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P33,Southeast,Man,Heterosexual,Non-white,No,Mid-level,Yes,My former technical lead was never listened to in leadership meetings because she was the only woman.,3S,Sexism
#P34,Southeast,Man,Heterosexual,White,Yes,Senior,No,N/A,N/A,N/A
#P35,Southeast,Woman,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P36,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P37,Southeast,Woman,Heterosexual,Non-white,No,Junior,Yes,I had a friend whose project teammates did not allow her to program because she was a woman.,3S,Sexism
#P38,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P39,Southeast,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P40,Southeast,Man,LGBTQ+,White,No,Mid-level,No,N/A,N/A,N/A
#P41,Southeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P42,Southeast,Man,Heterosexual,Others/I don't know,No,Junior,No,N/A,N/A,N/A
#P43,Southeast,Man,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P44,Southeast,Woman,LGBTQ+,White,No,Intern,No,N/A,N/A,N/A
#P45,Southeast,Woman,Others/I don't know,Non-white,No,Intern,No,N/A,N/A,N/A
#P46,Southeast,Woman,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P47,Southeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P48,Others/I don't know,Woman,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P49,Others/I don't know,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P50,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P51,Southeast,Man,Heterosexual,Non-white,No,Senior,Yes,none,N/A,N/A
#P52,Southeast,Woman,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P53,Southeast,Man,Heterosexual,Non-white,No,Junior,No,N/A,N/A,N/A
#P54,Northeast,Man,LGBTQ+,Non-white,No,Junior,Yes,"I was not allowed to implement a diversity and inclusion study at a company because they believed it was not “my place.” Instead, I had to carry out something I did not agree with. They believed that a study on race and diversity would not be beneficial.",1S,none
#P55,Southeast,Man,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P56,Northeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P57,Southeast,Others/I don't know,LGBTQ+,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P58,Northeast,Man,LGBTQ+,White,No,Intern,No,N/A,N/A,N/A
#P59,Others/I don't know,Man,Others/I don't know,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P60,Northeast,Woman,Others/I don't know,Non-white,No,Intern,No,N/A,N/A,N/A
#P61,Northeast,Woman,LGBTQ+,White,No,Intern,No,N/A,N/A,N/A
#P62,Southeast,Man,Heterosexual,Non-white,No,Senior,Yes,Sexist behavior from management and some team members.,3S,Sexism
#P63,Southeast,Woman,LGBTQ+,Non-white,No,Intern,Yes,"A coworker would say he did not like one of my ideas or that something was wrong, and then he would repeat exactly the same thing I had said. This happened all the time.",1S,Sexism
#P64,Southeast,Woman,LGBTQ+,White,No,Intern,No,N/A,N/A,N/A
#P65,Southeast,Man,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P66,Southeast,Woman,Heterosexual,White,No,Intern,Yes,none,N/A,N/A
#P67,Southeast,Man,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P68,Southeast,Man,Heterosexual,Non-white,No,Intern,No,N/A,N/A,N/A
#P69,Southeast,Woman,LGBTQ+,White,No,Intern,Yes,"A coworker and I were sidelined in a project by two men because the code was considered too “difficult.” In the end, the code was written by the two of us, and we received no recognition at all.",1S,Sexism
#P70,Southeast,Woman,LGBTQ+,White,No,Intern,No,N/A,N/A,N/A
#P71,Southeast,Man,Heterosexual,White,Yes,Intern,Yes,"In this case, it was not someone from within the company, but rather a group of people who were making comments about another person who apparently had a disability, laughing and mocking them.
Additionally, this is something that commonly happens, especially when it involves people with some degree of disability. There are always remarks with an invalidating tone and/or pejorative gossip.",3S,Ableism
#P72,Southeast,Man,Heterosexual,White,No,Junior,Yes,"I have not had many experiences, but the most recurrent one I observe is sexism.",3S,Sexism
#P73,Southeast,Man,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P74,Southeast,Woman,Heterosexual,Non-white,No,Mid-level,Yes,A suggested solution being ignored by the developer because it was proposed by a woman. Homophobic comments presented as jokes.,1S,"Homophobia, Sexism"
#P75,Southeast,Woman,Heterosexual,White,No,Intern,Yes,none,N/A,N/A
#P76,Southeast,Man,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P77,Southeast,Woman,Heterosexual,White,No,Intern,No,N/A,N/A,N/A
#P78,Southeast,Woman,LGBTQ+,White,Others/I don't know,Intern,No,N/A,N/A,N/A
#P79,Southeast,Others/I don't know,LGBTQ+,Non-white,Yes,Intern,No,N/A,N/A,N/A
#P80,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P81,Southeast,Woman,Heterosexual,White,No,Senior,Yes,"I believe that leadership positions, predominantly held by white, heterosexual men, show little interest in bringing more diversity into these roles.",1S,Sexism
#P82,Northeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P83,Southeast,Man,Heterosexual,Non-white,No,Junior,No,N/A,N/A,N/A
#P84,Northeast,Others/I don't know,Heterosexual,Non-white,No,Junior,Yes,An employee was criticized for having “gay-looking hair.”,3S,Homophobia
#P85,Northeast,Man,Heterosexual,Non-white,No,Senior,No,N/A,N/A,N/A
#P86,Northeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P87,Southeast,Man,Heterosexual,White,No,Intern,Yes,none,N/A,N/A
#P88,Southeast,Man,Heterosexual,White,No,Intern,Yes,Different treatment toward women by some managers.,3S,Sexism
#P89,Southeast,Woman,LGBTQ+,White,No,Intern,Yes,Cases of sexism during presentations by a specific mentor.,3S,Sexism
#P90,Northeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P91,Certer-West,Man,Heterosexual,Non-white,No,Senior,Yes,"I have experienced situations where women at the company I worked for were prevented from leading meetings because leadership considered them incapable. Not only that, they were also prevented from being promoted or from reaching leadership positions themselves.",3S,Sexism
#P92,Northeast,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P93,Northeast,Man,Heterosexual,Non-white,No,Mid-level,No,Not hiring or selecting people for a project because of their age.,3S,Ageism
#P94,Southeast,Woman,Others/I don't know,Non-white,No,Junior,Yes,Pay disparity.,1S,Sexism
#P95,North,Man,Heterosexual,White,Others/I don't know,Mid-level,No,N/A,N/A,N/A
#P96,Southeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P97,Northeast,Woman,Others/I don't know,Non-white,No,Senior,No,N/A,N/A,N/A
#P98,Southeast,Woman,LGBTQ+,Non-white,No,Intern,No,N/A,N/A,N/A
#P99,Northeast,Man,Heterosexual,White,Yes,Junior,No,N/A,N/A,N/A
#P100,Northeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P101,South,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P102,Northeast,Man,Heterosexual,Non-white,No,Junior,No,N/A,N/A,N/A
#P103,Northeast,Man,Heterosexual,Non-white,No,Junior,No,N/A,N/A,N/A
#P104,South,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P105,Southeast,Man,Others/I don't know,White,No,Junior,No,N/A,N/A,N/A
#P106,Southeast,Man,LGBTQ+,Non-white,No,Junior,No,N/A,N/A,N/A
#P107,Southeast,Man,Heterosexual,Non-white,No,Mid-level,No,N/A,N/A,N/A
#P108,South,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P109,Certer-West,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P110,Southeast,Man,Heterosexual,Non-white,No,Junior,No,N/A,N/A,N/A
#P111,Certer-West,Man,LGBTQ+,Non-white,Yes,Intern,No,N/A,N/A,N/A
#P112,Southeast,Man,Heterosexual,White,No,Senior,Yes,"People being hired solely because they are Black or women, regardless of their qualifications.",3S,none
#P113,Southeast,Man,LGBTQ+,White,Yes,Mid-level,Yes,"“Jokes” (i.e., harassment).",1S,Homophobia
#P114,South,Man,Heterosexual,White,No,Junior,Yes,"At my former company (a digital bank), there were no Black people, LGBTQIA+ individuals, or women among the entire development team.",1S,"Homophobia, Sexism"
#P115,Southeast,Man,Heterosexual,White,No,Senior,No,N/A,N/A,N/A
#P116,Northeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P117,South,Man,Heterosexual,White,No,Mid-level,No,N/A,N/A,N/A
#P118,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P119,Southeast,Man,Heterosexual,White,No,Junior,No,N/A,N/A,N/A
#P120,South,Man,Heterosexual,Others/I don't know,No,Junior,No,N/A,N/A,N/A
#P121,South,Man,Heterosexual,White,Yes,Mid-level,Yes,A colleague was promoted because she was a woman.,1S,none
